iter	Passed	Remaining
0	157	157658
1	169	84393
2	179	59602
3	189	47168
4	199	39664
5	211	35054
6	224	31796
7	235	29233
8	246	27179
9	256	25379
10	268	24101
11	279	23027
12	289	21967
13	299	21081
14	308	20280
15	319	19629
16	329	19044
17	335	18319
18	347	17946
19	359	17625
20	372	17344
21	382	17025
22	392	16686
23	403	16417
24	412	16104
25	425	15946
26	437	15758
27	448	15586
28	460	15421
29	470	15227
30	482	15066
31	492	14897
32	504	14770
33	515	14647
34	528	14559
35	540	14473
36	565	14723
37	576	14599
38	588	14504
39	600	14409
40	610	14287
41	621	14184
42	632	14076
43	643	13982
44	654	13883
45	664	13790
46	675	13701
47	688	13647
48	701	13618
49	714	13583
50	726	13519
51	737	13451
52	749	13390
53	760	13316
54	772	13276
55	784	13218
56	795	13161
57	811	13185
58	822	13117
59	832	13034
60	841	12950
61	849	12854
62	858	12770
63	866	12674
64	873	12565
65	884	12510
66	894	12450
67	906	12420
68	918	12393
69	927	12324
70	934	12230
71	943	12165
72	953	12108
73	966	12092
74	974	12020
75	982	11948
76	992	11901
77	1003	11861
78	1011	11794
79	1020	11738
80	1031	11702
81	1038	11627
82	1047	11574
83	1062	11590
84	1071	11538
85	1080	11485
86	1090	11444
87	1099	11399
88	1109	11356
89	1141	11537
90	1149	11485
91	1158	11429
92	1167	11389
93	1176	11343
94	1186	11303
95	1195	11262
96	1205	11219
97	1215	11184
98	1226	11159
99	1235	11122
100	1246	11097
101	1256	11059
102	1266	11026
103	1275	10990
104	1285	10960
105	1295	10922
106	1303	10881
107	1314	10853
108	1340	10955
109	1350	10927
110	1362	10914
111	1373	10888
112	1382	10854
113	1394	10836
114	1403	10803
115	1413	10768
116	1424	10746
117	1433	10711
118	1444	10696
119	1455	10671
120	1466	10653
121	1478	10639
122	1489	10617
123	1500	10601
124	1511	10580
125	1522	10558
126	1532	10531
127	1543	10512
128	1555	10501
129	1565	10473
130	1574	10443
131	1583	10413
132	1593	10384
133	1602	10357
134	1612	10329
135	1622	10308
136	1635	10299
137	1646	10285
138	1658	10273
139	1670	10261
140	1681	10243
141	1693	10232
142	1706	10224
143	1716	10204
144	1727	10183
145	1738	10171
146	1749	10154
147	1759	10127
148	1770	10113
149	1781	10095
150	1791	10071
151	1801	10052
152	1811	10027
153	1821	10007
154	1831	9984
155	1842	9966
156	1854	9955
157	1863	9933
158	1875	9920
159	1886	9901
160	1895	9876
161	1905	9855
162	1913	9826
163	1923	9805
164	1940	9818
165	1951	9805
166	1962	9787
167	1971	9764
168	1980	9740
169	1990	9716
170	2008	9737
171	2019	9720
172	2030	9705
173	2043	9703
174	2053	9683
175	2065	9667
176	2076	9656
177	2086	9635
178	2096	9615
179	2107	9600
180	2119	9588
181	2129	9570
182	2141	9561
183	2152	9546
184	2162	9528
185	2175	9519
186	2190	9525
